,fg,Topic
861,aminooxycyclopentyl,-1
862,aminooxyethoxy,-1
863,aminooxyethyl,-1
864,aminooxyethylamino,-1
865,aminooxyethylidene,-1
866,aminooxyethylsulfamoyl,-1
867,aminooxyethylsulfinyl,-1
868,aminooxyhexyl,-1
869,aminooxyimino,-1
870,aminooxyiminomethyl,-1
871,aminooxymethyl,-1
872,aminooxymethylidene,-1
873,aminooxymethylsulfonyl,-1
874,aminooxynaphthalen,-1
875,aminooxyoctanoic,-1
876,aminooxypent,-1
877,aminooxypentane,-1
878,aminooxypentanedioate,-1
879,aminooxypentanoate,-1
880,aminooxypentanoic,-1
881,aminooxypentyl,-1
882,aminooxyphenol,-1
883,aminooxyphenyl,-1
884,aminooxypiperidin,-1
885,aminooxypiperidine,-1
886,aminooxypropan,-1
887,aminooxypropanedioate,-1
888,aminooxypropanoate,-1
889,aminooxypropoxyimino,-1
890,aminooxypropyl,-1
891,aminooxypropylamino,-1
892,aminooxypropyldisulfanyl,-1
893,aminooxypyrrole,-1
894,aminooxypyrrolidin,-1
895,aminooxypyrrolidine,-1
896,aminooxysulfanylcyclohexa,-1
897,aminooxysulfonyl,-1
898,aminooxysulfonylphenyl,-1
899,aminooxythiophene,-1
900,aminopent,-1
901,aminopenta,-1
902,aminopentan,-1
903,aminopentanamide,-1
904,aminopentane,-1
905,aminopentanediamide,-1
906,aminopentanedioate,-1
907,aminopentanedioic,-1
908,aminopentanediperoxoic,-1
909,aminopentanehydrazide,-1
910,aminopentaneperoxoic,-1
911,aminopentanethioamide,-1
912,aminopentanethioic,-1
913,aminopentanoate,-1
914,aminopentanoic,-1
915,aminopentanoyl,-1
